Input Item,Type,Quality,Input Item Sell Price,Processed Sell Price,Increase in Value (g),Productivity (g/minute),Approximate g/day [1]
Fiddlehead Fern,Veg,Gold,148,322,174,0.044,70
Fiddlehead Fern,Veg,Iridium,198,322,124,0.031,50
Garlic,Veg,Regular,66,238,172,0.043,69
Garlic,Veg,Silver,82,238,156,0.039,62
Garlic,Veg,Gold,99,238,139,0.035,56
Garlic,Veg,Iridium,132,238,106,0.027,42
Ginger [2],Forage,Regular,60,238,178,0.045,71
Grape [2],Fruit,Regular,80,294,214,0.054,86
Grape [2],Fruit,Silver,100,294,194,0.049,78
Grape [2],Fruit,Gold,120,294,174,0.044,70
Grape [2],Fruit,Iridium,160,294,134,0.034,54
Grape,Fruit,Regular,88,294,206,0.052,82
Grape,Fruit,Silver,110,294,184,0.046,74
Grape,Fruit,Gold,132,294,162,0.041,65
Grape,Fruit,Iridium,176,294,118,0.03,47
Green Bean,Veg,Regular,44,182,138,0.035,55
Green Bean,Veg,Silver,55,182,127,0.032,51
Green Bean,Veg,Gold,66,182,116,0.029,46
Green Bean,Veg,Iridium,88,182,94,0.024,38
Hazelnut [2],Forage,Regular,90,322,232,0.058,93
Hazelnut [2],Forage,Silver,112,322,210,0.053,84
Hazelnut [2],Forage,Gold,135,322,187,0.047,75
Hazelnut [2],Forage,Iridium,180,322,142,0.036,57
Hops,Veg,Regular,27,140,113,0.028,45
Hops,Veg,Silver,34,140,106,0.027,42
Hops,Veg,Gold,40,140,100,0.025,40
Hops,Veg,Iridium,55,140,85,0.021,34
Hot Pepper,Fruit,Regular,44,182,138,0.035,55
Hot Pepper,Fruit,Silver,55,182,127,0.032,51
Hot Pepper,Fruit,Gold,66,182,116,0.029,46
Hot Pepper,Fruit,Iridium,88,182,94,0.024,38
Kale,Veg,Regular,121,378,257,0.064,103
Kale,Veg,Silver,150,378,228,0.057,91
Kale,Veg,Gold,181,378,197,0.049,79
Kale,Veg,Iridium,242,378,136,0.034,54
Leek [2],Forage,Regular,60,238,178,0.045,71
Leek [2],Forage,Silver,75,238,163,0.041,65
Leek [2],Forage,Gold,90,238,148,0.037,59
Leek [2],Forage,Iridium,120,238,118,0.03,47
Magma Cap [2],Forage,Regular,400,1190,790,0.198,316
Magma Cap [2],Forage,Silver,500,1190,690,0.173,276
Magma Cap [2],Forage,Gold,600,1190,590,0.148,236
Magma Cap [2],Forage,Iridium,800,1190,390,0.098,156
Mango,Fruit,Regular,143,434,291,0.073,116
Mango,Fruit,Silver,178,434,256,0.064,102
Mango,Fruit,Gold,214,434,220,0.055,88
Mango,Fruit,Iridium,286,434,148,0.037,59
Melon,Fruit,Regular,275,770,495,0.124,198
Melon,Fruit,Silver,343,770,427,0.107,171
Melon,Fruit,Gold,412,770,358,0.09,143
Melon,Fruit,Iridium,550,770,220,0.055,88
Morel [2],Forage,Regular,150,490,340,0.085,136
Morel [2],Forage,Silver,187,490,303,0.076,121
Morel [2],Forage,Gold,225,490,265,0.066,106
Morel [2],Forage,Iridium,300,490,190,0.048,76
Orange,Fruit,Regular,110,350,240,0.06,96
Orange,Fruit,Silver,137,350,213,0.053,85
Orange,Fruit,Gold,165,350,185,0.046,74
Orange,Fruit,Iridium,220,350,130,0.033,52
Parsnip,Veg,Regular,38,168,130,0.033,52
Parsnip,Veg,Silver,47,168,121,0.03,48
Parsnip,Veg,Gold,57,168,111,0.028,44
Parsnip,Veg,Iridium,77,168,91,0.023,36
Peach,Fruit,Regular,154,462,308,0.077,123
Peach,Fruit,Silver,192,462,270,0.068,108
Peach,Fruit,Gold,231,462,231,0.058,92
Peach,Fruit,Iridium,308,462,154,0.039,62
Pineapple,Fruit,Regular,330,910,580,0.145,232
Pineapple,Fruit,Silver,412,910,498,0.125,199
Pineapple,Fruit,Gold,495,910,415,0.104,166
Pineapple,Fruit,Iridium,660,910,250,0.063,100
Pomegranate,Fruit,Regular,154,462,308,0.077,123
Pomegranate,Fruit,Silver,192,462,270,0.068,108
Pomegranate,Fruit,Gold,231,462,231,0.058,92
Pomegranate,Fruit,Iridium,308,462,154,0.039,62
Potato,Veg,Regular,88,294,206,0.052,82
Potato,Veg,Silver,110,294,184,0.046,74
Potato,Veg,Gold,132,294,162,0.041,65
Potato,Veg,Iridium,176,294,118,0.03,47
Powdermelon,Fruit,Regular,66,238,172,0.043,69
Powdermelon,Fruit,Silver,82,238,156,0.039,62
Powdermelon,Fruit,Gold,99,238,139,0.035,56
Powdermelon,Fruit,Iridium,132,238,106,0.027,42
Pumpkin,Veg,Regular,352,966,614,0.154,246
Pumpkin,Veg,Silver,440,966,526,0.132,210
Pumpkin,Veg,Gold,528,966,438,0.11,175
Pumpkin,Veg,Iridium,704,966,262,0.066,105
Purple Mushroom [2],Forage,Regular,250,770,520,0.13,208
Purple Mushroom [2],Forage,Silver,312,770,458,0.115,183
Purple Mushroom [2],Forage,Gold,375,770,395,0.099,158
Purple Mushroom [2],Forage,Iridium,500,770,270,0.068,108
Qi Fruit,Fruit,Regular,1,72,71,0.018,28
Radish,Veg,Regular,99,322,223,0.056,89
Radish,Veg,Silver,123,322,199,0.05,80
Radish,Veg,Gold,148,322,174,0.044,70
Radish,Veg,Iridium,198,322,124,0.031,50
Red Cabbage,Veg,Regular,286,798,512,0.128,205
Red Cabbage,Veg,Silver,357,798,441,0.11,176
Red Cabbage,Veg,Gold,429,798,369,0.092,148
Red Cabbage,Veg,Iridium,572,798,226,0.057,90
Rhubarb,Fruit,Regular,242,686,444,0.111,178
Rhubarb,Fruit,Silver,302,686,384,0.096,154
Rhubarb,Fruit,Gold,363,686,323,0.081,129
Rhubarb,Fruit,Iridium,484,686,202,0.051,81
Salmonberry [2],Fruit,Regular,5,84,79,0.02,32
Salmonberry [2],Fruit,Silver,6,84,78,0.02,31
Salmonberry [2],Fruit,Gold,7,84,77,0.019,31
Salmonberry [2],Fruit,Iridium,10,84,74,0.019,30
Salmonberry,Fruit,Regular,5,84,79,0.02,32
Salmonberry,Fruit,Iridium,11,84,73,0.018,29
Salmonberry [2] with Bear's Knowledge,Fruit,Regular,15,84,69,0.017,28
Salmonberry [2] with Bear's Knowledge,Fruit,Silver,18,84,66,0.017,26
Salmonberry [2] with Bear's Knowledge,Fruit,Gold,21,84,63,0.016,25
Salmonberry [2] with Bear's Knowledge,Fruit,Iridium,30,84,54,0.014,22
Salmonberry with Bear's Knowledge,Fruit,Regular,16,84,68,0.017,27
Salmonberry with Bear's Knowledge,Fruit,Iridium,33,84,51,0.013,20
Snow Yam [2],Forage,Regular,100,350,250,0.063,100
Snow Yam [2],Forage,Silver,125,350,225,0.056,90
Snow Yam [2],Forage,Gold,150,350,200,0.05,80
Snow Yam [2],Forage,Iridium,200,350,150,0.038,60
Spice Berry [2],Fruit,Regular,80,294,214,0.054,86
Spice Berry [2],Fruit,Silver,100,294,194,0.049,78
Spice Berry [2],Fruit,Gold,120,294,174,0.044,70
Spice Berry [2],Fruit,Iridium,160,294,134,0.034,54
Spring Onion [2],Forage,Regular,8,92,84,0.021,34
Spring Onion [2],Forage,Silver,10,92,82,0.021,33
Spring Onion [2],Forage,Gold,12,92,80,0.02,32
Spring Onion [2],Forage,Iridium,16,92,76,0.019,30
Spring Onion [2] with Spring Onion Mastery,Forage,Regular,40,92,52,0.013,21
Spring Onion [2] with Spring Onion Mastery,Forage,Silver,50,92,42,0.011,17
Spring Onion [2] with Spring Onion Mastery,Forage,Gold,60,92,32,0.008,13
Spring Onion [2] with Spring Onion Mastery,Forage,Iridium,80,92,12,0.003,5
Starfruit,Fruit,Regular,825,2170,1345,0.336,538
Starfruit,Fruit,Silver,1030,2170,1140,0.285,456
Starfruit,Fruit,Gold,1237,2170,933,0.233,373
Starfruit,Fruit,Iridium,1650,2170,520,0.13,208
Strawberry,Fruit,Regular,132,406,274,0.069,110
Strawberry,Fruit,Silver,165,406,241,0.06,96
Strawberry,Fruit,Gold,198,406,208,0.052,83
Strawberry,Fruit,Iridium,264,406,142,0.036,57
Summer Squash,Veg,Regular,49,196,147,0.037,59
Summer Squash,Veg,Silver,61,196,135,0.034,54
Summer Squash,Veg,Gold,73,196,123,0.031,49
Summer Squash,Veg,Iridium,99,196,97,0.024,39
Taro Root,Veg,Regular,110,350,240,0.06,96
Taro Root,Veg,Silver,137,350,213,0.053,85
Taro Root,Veg,Gold,165,350,185,0.046,74
Taro Root,Veg,Iridium,220,350,130,0.033,52
Tea Leaves,Veg,Regular,55,210,155,0.039,62
Tomato,Veg,Regular,66,238,172,0.043,69
Tomato,Veg,Silver,82,238,156,0.039,62
Tomato,Veg,Gold,99,238,139,0.035,56
Tomato,Veg,Iridium,132,238,106,0.027,42
Unmilled Rice,Veg,Regular,33,154,121,0.03,48
Unmilled Rice,Veg,Silver,40,154,114,0.029,46
Unmilled Rice,Veg,Gold,49,154,105,0.026,42
Unmilled Rice,Veg,Iridium,66,154,88,0.022,35
Wheat,Veg,Regular,27,140,113,0.028,45
Wheat,Veg,Silver,34,140,106,0.027,42
Wheat,Veg,Gold,40,140,100,0.025,40
Wheat,Veg,Iridium,55,140,85,0.021,34
Wild Horseradish [2],Forage,Regular,50,210,160,0.04,64
Wild Horseradish [2],Forage,Silver,62,210,148,0.037,59
Wild Horseradish [2],Forage,Gold,75,210,135,0.034,54
Wild Horseradish [2],Forage,Iridium,100,210,110,0.028,44
Wild Plum [2],Fruit,Regular,80,294,214,0.054,86
Wild Plum [2],Fruit,Silver,100,294,194,0.049,78
Wild Plum [2],Fruit,Gold,120,294,174,0.044,70
Wild Plum [2],Fruit,Iridium,160,294,134,0.034,54
Winter Root [2],Forage,Regular,70,266,196,0.049,78
Winter Root [2],Forage,Silver,87,266,179,0.045,72
Winter Root [2],Forage,Gold,105,266,161,0.04,64
Winter Root [2],Forage,Iridium,140,266,126,0.032,50
Yam,Veg,Regular,176,518,342,0.086,137
Yam,Veg,Silver,220,518,298,0.075,119
Yam,Veg,Gold,264,518,254,0.064,102
Yam,Veg,Iridium,352,518,166,0.042,66
Albacore Roe [3],Roe,Regular,67,187,120,0.03,48
Anchovy Roe [3],Roe,Regular,45,126,81,0.02,32
Angler Roe [3],Roe,Regular,480,1344,864,0.216,346
Blobfish Roe [3],Roe,Regular,280,784,504,0.126,202
Blue Discus Roe [3],Roe,Regular,90,252,162,0.041,65
Bream Roe [3],Roe,Regular,52,145,93,0.023,37
Bullhead Roe [3],Roe,Regular,67,187,120,0.03,48
Carp Roe [3],Roe,Regular,45,126,81,0.02,32
Catfish Roe [3],Roe,Regular,130,364,234,0.059,94
Chub Roe [3],Roe,Regular,55,154,99,0.025,40
Clam Roe [3],Roe,Regular,55,110,55,0.014,22
Cockle Roe [3],Roe,Regular,55,154,99,0.025,40
Crab Roe [3],Roe,Regular,80,224,144,0.036,58
Crayfish Roe [3],Roe,Regular,67,187,120,0.03,48
Crimsonfish Roe [3],Roe,Regular,780,2184,1404,0.351,562
Dorado Roe [3],Roe,Regular,80,224,144,0.036,58
Eel Roe [3],Roe,Regular,72,201,129,0.032,52
Flounder Roe [3],Roe,Regular,80,224,144,0.036,58
Ghostfish Roe [3],Roe,Regular,52,145,93,0.023,37
Glacierfish Roe [3],Roe,Regular,530,1484,954,0.239,382
Goby Roe [3],Roe,Regular,105,210,105,0.026,42
Halibut Roe [3],Roe,Regular,70,196,126,0.032,50
Herring Roe [3],Roe,Regular,45,126,81,0.02,32
Ice Pip Roe [3],Roe,Regular,280,784,504,0.126,202
Largemouth Bass Roe [3],Roe,Regular,80,224,144,0.036,58
Lava Eel Roe [3],Roe,Regular,380,1064,684,0.171,274
Legend Roe [3],Roe,Regular,2530,7084,4554,1.139,1822
Lingcod Roe [3],Roe,Regular,90,252,162,0.041,65
Lionfish Roe [3],Roe,Regular,80,224,144,0.036,58
Lobster Roe [3],Roe,Regular,90,252,162,0.041,65
Midnight Carp Roe [3],Roe,Regular,105,294,189,0.047,76
Mussel Roe [3],Roe,Regular,45,126,81,0.02,32
Mutant Carp Roe [3],Roe,Regular,530,1484,954,0.239,382
Octopus Roe [3],Roe,Regular,105,294,189,0.047,76
Oyster Roe [3],Roe,Regular,50,140,90,0.023,36
Perch Roe [3],Roe,Regular,57,159,102,0.026,41
Periwinkle Roe [3],Roe,Regular,40,112,72,0.018,29
Pike Roe [3],Roe,Regular,80,224,144,0.036,58
Pufferfish Roe [3],Roe,Regular,130,364,234,0.059,94
Rainbow Trout Roe [3],Roe,Regular,62,173,111,0.028,44
Red Mullet Roe [3],Roe,Regular,67,187,120,0.03,48
Red Snapper Roe [3],Roe,Regular,55,154,99,0.025,40
Salmon Roe [3],Roe,Regular,67,187,120,0.03,48
Sandfish Roe [3],Roe,Regular,67,187,120,0.03,48
Sardine Roe [3],Roe,Regular,50,140,90,0.023,36
Scorpion Carp Roe [3],Roe,Regular,105,294,189,0.047,76
Sea Cucumber Roe [3],Roe,Regular,67,187,120,0.03,48
Sea Urchin Roe [3],Roe,Regular,110,308,198,0.05,79
Shad Roe [3],Roe,Regular,60,168,108,0.027,43
Shrimp Roe [3],Roe,Regular,60,168,108,0.027,43
Slimejack Roe [3],Roe,Regular,80,224,144,0.036,58
Smallmouth Bass Roe [3],Roe,Regular,55,154,99,0.025,40
Snail Roe [3],Roe,Regular,62,173,111,0.028,44
Spook Fish Roe [3],Roe,Regular,140,392,252,0.063,101
Stingray Roe [3],Roe,Regular,120,336,216,0.054,86
Stonefish Roe [3],Roe,Regular,180,504,324,0.081,130
Sturgeon Roe [3],Roe,Regular,130,700,570,0.095,152
Sunfish Roe [3],Roe,Regular,45,126,81,0.02,32
Super Cucumber Roe [3],Roe,Regular,155,434,279,0.07,112
Tiger Trout Roe [3],Roe,Regular,105,294,189,0.047,76
Tilapia Roe [3],Roe,Regular,67,187,120,0.03,48
Tuna Roe [3],Roe,Regular,80,224,144,0.036,58
Void Salmon Roe [3],Roe,Regular,105,294,189,0.047,76
Walleye Roe [3],Roe,Regular,82,229,147,0.037,59
Woodskip Roe [3],Roe,Regular,67,187,120,0.03,48
