Input Item,Quality,Input Item Sell Price,"Processed Sell Price(Regular Quality)",Increase in Value (g),Productivity (g/minute),Approximate g/day [1]
Honey - Summer Spangle [4],Regular,392,420,28,0.047,75
Honey - Sunflower [4],Regular,364,420,56,0.093,149
Honey - Tulip [4],Regular,224,420,196,0.327,523
Honey - Wild [4],Regular,140,420,280,0.467,747
Hops,Regular,27,420,393,0.175,280
Hops,Silver,34,420,386,0.172,275
Hops,Gold,40,420,380,0.169,270
Hops,Iridium,55,420,365,0.162,259
Hot Pepper,Regular,44,168,124,0.012,19
Hot Pepper,Silver,55,168,113,0.011,18
Hot Pepper,Gold,66,168,102,0.01,16
Hot Pepper,Iridium,88,168,80,0.008,13
Kale,Regular,121,345,224,0.037,59
Kale,Silver,150,345,195,0.033,53
Kale,Gold,181,345,164,0.027,43
Kale,Iridium,242,345,103,0.017,27
Mango,Regular,143,546,403,0.04,64
Mango,Silver,178,546,368,0.037,59
Mango,Gold,214,546,332,0.033,53
Mango,Iridium,286,546,260,0.026,42
Melon,Regular,275,1050,775,0.078,125
Melon,Silver,343,1050,707,0.071,114
Melon,Gold,412,1050,638,0.064,102
Melon,Iridium,550,1050,500,0.05,80
Orange,Regular,110,420,310,0.031,50
Orange,Silver,137,420,283,0.028,45
Orange,Gold,165,420,255,0.026,42
Orange,Iridium,220,420,200,0.02,32
Parsnip,Regular,38,109,71,0.012,19
Parsnip,Silver,47,109,62,0.01,16
Parsnip,Gold,57,109,52,0.009,14
Parsnip,Iridium,77,109,32,0.005,8
Peach,Regular,154,588,434,0.043,69
Peach,Silver,192,588,396,0.04,64
Peach,Gold,231,588,357,0.036,58
Peach,Iridium,308,588,280,0.028,45
Pineapple,Regular,330,1260,930,0.093,149
Pineapple,Silver,412,1260,848,0.085,136
Pineapple,Gold,495,1260,765,0.077,123
Pineapple,Iridium,660,1260,600,0.06,96
Pomegranate,Regular,154,588,434,0.043,69
Pomegranate,Silver,192,588,396,0.04,64
Pomegranate,Gold,231,588,357,0.036,58
Pomegranate,Iridium,308,588,280,0.028,45
Potato,Regular,88,252,164,0.027,43
Potato,Silver,110,252,142,0.024,38
Potato,Gold,132,252,120,0.02,32
Potato,Iridium,176,252,76,0.013,21
Pumpkin,Regular,352,1008,656,0.109,174
Pumpkin,Silver,440,1008,568,0.095,152
Pumpkin,Gold,528,1008,480,0.08,128
Pumpkin,Iridium,704,1008,304,0.051,82
Qi Fruit,Regular,1,4,3,0,0
Radish,Regular,99,282,183,0.031,50
Radish,Silver,123,282,159,0.027,43
Radish,Gold,148,282,134,0.022,35
Radish,Iridium,198,282,84,0.014,22
Red Cabbage,Regular,286,819,533,0.089,142
Red Cabbage,Silver,357,819,462,0.077,123
Red Cabbage,Gold,429,819,390,0.065,104
Red Cabbage,Iridium,572,819,247,0.041,66
Rhubarb,Regular,242,924,682,0.068,109
Rhubarb,Silver,302,924,622,0.062,99
Rhubarb,Gold,363,924,561,0.056,90
Rhubarb,Iridium,484,924,440,0.044,70
Rice,Regular,100,200,100,0.167,267
Salmonberry [2],Regular,5,21,16,0.002,3
Salmonberry [2],Silver,6,21,15,0.002,3
Salmonberry [2],Gold,7,21,14,0.001,2
Salmonberry [2],Iridium,10,21,11,0.001,2
Salmonberry,Regular,5,21,16,0.002,3
Salmonberry,Iridium,11,21,10,0.001,2
Salmonberry [2] with Bear's Knowledge,Regular,15,21,6,0.001,2
Salmonberry [2] with Bear's Knowledge,Silver,18,21,3,0,0
Salmonberry [2] with Bear's Knowledge,Gold,21,21,0,0,0
Salmonberry [2] with Bear's Knowledge,Iridium,30,21,-9,-0.001,-2
Salmonberry with Bear's Knowledge,Regular,16,21,5,0.001,2
Salmonberry with Bear's Knowledge,Iridium,33,21,-12,-0.001,-2
Spice Berry [2],Regular,80,336,256,0.026,42
Spice Berry [2],Silver,100,336,236,0.024,38
Spice Berry [2],Gold,120,336,216,0.022,35
Spice Berry [2],Iridium,160,336,176,0.018,29
Starfruit,Regular,825,3150,2325,0.233,373
Starfruit,Silver,1030,3150,2120,0.212,339
Starfruit,Gold,1237,3150,1913,0.191,306
Starfruit,Iridium,1650,3150,1500,0.15,240
Strawberry,Regular,132,504,372,0.037,59
Strawberry,Silver,165,504,339,0.034,54
Strawberry,Gold,198,504,306,0.031,50
Strawberry,Iridium,264,504,240,0.024,38
Taro Root,Regular,110,315,205,0.034,54
Taro Root,Silver,137,315,178,0.03,48
Taro Root,Gold,165,315,150,0.025,40
Taro Root,Iridium,220,315,95,0.016,26
Tea Leaves,Regular,55,140,85,0.472,755
Tomato,Regular,66,189,123,0.021,34
Tomato,Silver,82,189,107,0.018,29
Tomato,Gold,99,189,90,0.015,24
Tomato,Iridium,132,189,57,0.01,16
Unmilled Rice,Regular,33,93,60,0.01,16
Unmilled Rice,Silver,40,93,53,0.009,14
Unmilled Rice,Gold,49,93,44,0.007,11
Unmilled Rice,Iridium,66,93,27,0.005,8
Wheat,Regular,27,280,253,0.145,232
Wheat,Silver,34,280,246,0.141,226
Wheat,Gold,40,280,240,0.137,219
Wheat,Iridium,55,280,225,0.129,206
Wild Plum [2],Regular,80,336,256,0.026,42
Wild Plum [2],Silver,100,336,236,0.024,38
Wild Plum [2],Gold,120,336,216,0.022,35
Powdermelon,Regular,66,252,186,0.018,27
Powdermelon,Silver,82,252,170,0.017,24
Powdermelon,Gold,99,252,153,0.015,22
Powdermelon,Iridium,132,252,120,0.012,17
Wild Plum [2],Iridium,160,336,176,0.018,29
Yam,Regular,176,504,328,0.055,88
Yam,Silver,220,504,284,0.047,75
Yam,Gold,264,504,240,0.04,64
Yam,Iridium,352,504,152,0.025,40
